Name                                           Stmts   Miss  Cover
------------------------------------------------------------------
collection/__init__.py                             0      0   100%
collection/plugins/__init__.py                     0      0   100%
collection/plugins/action/__init__.py              0      0   100%
collection/plugins/action/account.py              23      0   100%
collection/plugins/action/group.py                10      0   100%
collection/plugins/action/install.py              19      0   100%
collection/plugins/action/libvirt.py              15      0   100%
collection/plugins/action/network.py              18      0   100%
collection/plugins/action/params.py               33      0   100%
collection/plugins/action/proxmox.py              20      0   100%
collection/plugins/action/storage.py              21      0   100%
collection/plugins/filter/__init__.py              0      0   100%
collection/plugins/filter/proxmox.py              34     28    18%
collection/plugins/modules/__init__.py             0      0   100%
collection/plugins/modules/mountiso.py             9      0   100%
collection/tests/__init__.py                       0      0   100%
collection/tests/integration/__init__.py           2      0   100%
collection/tests/integration/test_default.py      15      0   100%
------------------------------------------------------------------
TOTAL                                            219     28    87%
